22155;L'ARTE LUCE;ИТАЛИЯ;CANDLE;L37305.84;Люстра Candle;Люстра Candle;ЛЮСТРЫ;L37305.84;1;шт;Люстра;5;E27;60;Люстра Candle, 5-ти рожковая.;модерн;220;;;;;;;;;;;;54;;;;;;;;64;;;;;;;;;;;;5710;2;ЛЮСТРЫ модерн
22201;L'ARTE LUCE;ИТАЛИЯ;LANCASTER;L33105.86;Люстра Lancaster подвесная;Люстра Lancaster;ЛЮСТРЫ;L33105.86;1;шт;Люстра;5;E27;60;Люстра Lancaster, 5-ти рожковая.;ар-деко;;;;;;;;;;;;;39;;;;;;;;78;;;;;;;;;;;;10779;79;ЛЮСТРЫ ар-деко
26042;L'ARTE LUCE;ИТАЛИЯ;BONNARD;L12004.03;Люстра Bonnard кованая;Люстра Bonnard кованая;ЛЮСТРЫ;L12004.03;1;шт;Люстра;4;E14;60;Люстра Bonnard, 4-х рожковая.;ковка;;;;;;;;;;;;;52;;;;;;;;64;;;;;;;;;;;;9533;23;ЛЮСТРЫ ковка
26043;L'ARTE LUCE;ИТАЛИЯ;BONNARD;L12006.03;Люстра Bonnard кованая;Люстра Bonnard кованая;ЛЮСТРЫ;L12006.03;1;шт;Люстра;6;E14;60;Люстра Bonnard, 6-ти рожковая.;ковка;;;;;;;;;;;;;59;;;;;;;;71;;;;;;;;;;;;13175;25;ЛЮСТРЫ ковка
26049;L'ARTE LUCE;ИТАЛИЯ;COURBET;L15606.03;Люстра Courbet кованая;Люстра Courbet кованая;ЛЮСТРЫ;L15606.03;1;шт;Люстра;6;E14;60;Люстра Courbet, 6-ти рожковая.;ковка;;;;;;;;;;;;;62;;;;;;;;76;;;;;;;;;;;;14220;26;ЛЮСТРЫ ковка
26055;L'ARTE LUCE;ИТАЛИЯ;CHALET;L17806.03;Люстра Chalet кованая;Люстра Chalet кованая;ЛЮСТРЫ;L17806.03;1;шт;Люстра;6;E14;60;Люстра Chalet, 6-ти рожковая.;ковка;;;;;;;;;;;;;40;;;;;;;;66;;;;;;;;;;;;11873;24;ЛЮСТРЫ ковка
673;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;ЛЮСТРЫ BML;8152112908;Люстра 5-ти рожковая;Люстра;ЛЮСТРЫ;D227-123opB;1;шт;Люстра;5;Е27;40;Пятирожковая люстра Berliner Messinglampen изящной формы с плафонами из двойного стекла, арматура - латунь. Возможность замены плафонов на любые другие этой же торговой марки.;ар-деко;220;;;;;;;;;;;;96;;;;;;;;55;;;Opal glass;Berliner Messing;;;;;;;;41441;0;ЛЮСТРЫ ар-деко
674;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;ЛЮСТРЫ BML;8152111003;Люстра 5-ти рожковая;Люстра;ЛЮСТРЫ;D258-40opB;1;шт;Люстра;5;Е27;60;"Пятирожковая люстра Berliner Messinglampen, модного в настоящее время стиля ""ар-нуво"". Плафоны из двойного стекла. Высочайшее немецкое качество.";ар-деко;220;;;;;;;;;;;;38;;;;;;;;68;;;Opal glass;Berliner Messing;;;;;;;;25889;0;ЛЮСТРЫ ар-деко
26702;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;ЛЮСТРЫ BML;d14-113gs+122gsb;Люстра 5-ти рожковая;Люстра;ЛЮСТРЫ;D14-113gs+122gsB;1;шт;Люстра;3+1;E27;40,6;Люстра 5-ти рожковая.;ар-деко;;;;;;;;;;;;;101;;;;;;;;60;;;;;;;;;;;;35020;3;ЛЮСТРЫ ар-деко
26744;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;ЛЮСТРЫ BML;d215-123ebb;Люстра 5-ти рожковая;Люстра;ЛЮСТРЫ;D215-123ebB;1;шт;Люстра;5;E27;40;Люстра 5-ти рожковая.;ар-деко;;;;;;;;;;;;;92;;;;;;;;54;;;;;;;;;;;;40874;0;ЛЮСТРЫ ар-деко
26745;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;ЛЮСТРЫ BML;d215-123opb;Люстра 5-ти рожковая;Люстра;ЛЮСТРЫ;D215-123opB;1;шт;Люстра;5;E27;40;Люстра 5-ти рожковая.;ар-деко;;;;;;;;;;;;;92;;;;;;;;54;;;;;;;;;;;;39963;0;ЛЮСТРЫ ар-деко
26750;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;ЛЮСТРЫ BML;d258-40opb;Люстра 5-ти рожковая;Люстра;ЛЮСТРЫ;D258-40opB;1;шт;Люстра;5;E27;;Люстра 5-ти рожковая.;ар-деко;;;;;;;;;;;;;45;;;;;;;;72;;;;;;;;;;;;25889;0;ЛЮСТРЫ ар-деко
26762;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;ЛЮСТРЫ BML;d86-22opb;Люстра 5-ти рожковая;Люстра;ЛЮСТРЫ;D86-22opB;1;шт;Люстра;5;E27;60;Люстра 5-ти рожковая.;ар-деко;;;;;;;;;;;;;129;;;;;;;;92;;;;;;;;;;;;56293;2;ЛЮСТРЫ ар-деко
26763;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;ЛЮСТРЫ BML;d89-22opb;Люстра 5-ти рожковая;Люстра;ЛЮСТРЫ;D89-22opB;1;шт;Люстра;5;E27;60;Люстра 5-ти рожковая.;ар-деко;;;;;;;;;;;;;80;;;;;;;;78;;;;;;;;;;;;33075;0;ЛЮСТРЫ ар-деко
