220926;"VIBIA";"ИСПАНИЯ";"Big";"vibia-0535-01";"Светильник подвесной Big";"Светильник подвесной Big";"СВЕТИЛЬНИКИ ПОДВЕСНЫЕ";"0535-01";1;"шт.";"Светильник подвесной";2;"2G11";36;"Светильник подвесной Big, арматура chrome.";"современный";;"IP20";;;;;;;;;;;;;18;200;;;;;120;;;;"chrome";;;;;;;;112518;;"Светильник подвесной современный";"vibia-0535-01"
220927;"VIBIA";"ИСПАНИЯ";"Big";"vibia-0536-01";"Светильник подвесной Big";"Светильник подвесной Big";"СВЕТИЛЬНИКИ ПОДВЕСНЫЕ";"0536-01";1;"шт.";"Светильник подвесной";2;"2G11";36;"Светильник подвесной Big, арматура chrome.";"современный";;"IP20";;;;;;;;;;;;;13,5;200;;;;;100;;;;"chrome";;;;;;;;88158;;"Светильник подвесной современный";"vibia-0536-01"
220928;"VIBIA";"ИСПАНИЯ";"Big";"vibia-0540-01";"Светильник потолочный встраиваемый Big";"Светильник потолочный встраиваемый Big";"СВЕТИЛЬНИКИ ПОТОЛОЧНЫЕ";"0540-01";1;"шт.";"Светильник потолочный";2;"G5";54;"Светильник потолочный встраиваемый Big, арматура chrome.";"современный";;"IP20";;;;;;;;;;;;;;;;;20;;123;;121;;"chrome";;;;;;;;102060;;"Светильник потолочный современный";"vibia-0540-01"
220929;"VIBIA";"ИСПАНИЯ";"Big";"vibia-0543-01";"Светильник потолочный встраиваемый Big";"Светильник потолочный встраиваемый Big";"СВЕТИЛЬНИКИ ПОТОЛОЧНЫЕ";"0543-01";1;"шт.";"Светильник потолочный";2;"G5";39;"Светильник потолочный встраиваемый Big, арматура chrome.";"современный";;"IP20";;;;;;;;;;;;;;;;;16;;60;;58,7;;"chrome";;;;;;;;40824;;"Светильник потолочный современный";"vibia-0543-01"
220930;"VIBIA";"ИСПАНИЯ";"Big";"vibia-0544-01";"Светильник потолочный встраиваемый Big";"Светильник потолочный встраиваемый Big";"СВЕТИЛЬНИКИ ПОТОЛОЧНЫЕ";"0544-01";1;"шт.";"Светильник потолочный";2;"G5";39;"Светильник потолочный встраиваемый Big, арматура chrome.";"современный";;"IP20";;;;;;;;;;;;;;;;;16;;60;;58,7;;"chrome";;;;;;;;34524;;"Светильник потолочный современный";"vibia-0544-01"
220931;"VIBIA";"ИСПАНИЯ";"Big";"vibia-0546-01";"Светильник потолочный встраиваемый Big";"Светильник потолочный встраиваемый Big";"СВЕТИЛЬНИКИ ПОТОЛОЧНЫЕ";"0546-01";1;"шт.";"Светильник потолочный";2;"GX13";55;"Светильник потолочный встраиваемый Big, арматура chrome.";"современный";;"IP20";;;;;;;;;;;;;;;;;18;;35;;34;;"chrome";;;;;;;;19068;;"Светильник потолочный современный";"vibia-0546-01"
220932;"VIBIA";"ИСПАНИЯ";"Big";"vibia-0547-01";"Светильник потолочный встраиваемый Big";"Светильник потолочный встраиваемый Big";"СВЕТИЛЬНИКИ ПОТОЛОЧНЫЕ";"0547-01";1;"шт.";"Светильник потолочный";2;"GX13";55;"Светильник потолочный встраиваемый Big, арматура chrome.";"современный";;"IP20";;;;;;;;;;;;;;;;;18;;35;;34;;"chrome";;;;;;;;16884;;"Светильник потолочный современный";"vibia-0547-01"
220933;"VIBIA";"ИСПАНИЯ";"Sigma";"vibia-0550-03";"Торшер Sigma";"Торшер Sigma";"СВЕТИЛЬНИКИ НАПОЛЬНЫЕ";"0550-03";1;"шт.";"Торшер";2;"2G11";24;"Торшер Sigma, арматура white lacquer.";"современный";;"IP20";;;;;;;109;23;;;148;;;;;;;;38;;;;"white lacquer";;;;;;;;109326;;"Торшер современный";"vibia-0550-03"
220934;"VIBIA";"ИСПАНИЯ";"Sigma";"vibia-0550-04";"Торшер Sigma";"Торшер Sigma";"СВЕТИЛЬНИКИ НАПОЛЬНЫЕ";"0550-04";1;"шт.";"Торшер";2;"2G11";24;"Торшер Sigma, арматура black lacquer.";"современный";;"IP20";;;;;;;109;23;;;148;;;;;;;;38;;;;"black lacquer";;;;;;;;109326;;"Торшер современный";"vibia-0550-04"
220935;"VIBIA";"ИСПАНИЯ";"Sigma";"vibia-0555-03";"Настольная лампа Sigma";"Настольная лампа Sigma";"СВЕТИЛЬНИКИ НАСТОЛЬНЫЕ";"0555-03";1;"шт.";"Настольная лампа";4;"LED";1;"Настольная лампа Sigma, арматура white lacquer.";"современный";;"IP20";;;;;;;69;10;;;42;;;;;;;;;;;;"white lacquer";;;;;;;;43512;;"Настольная лампа современный";"vibia-0555-03"
