Категория;Артикул фабрики;Название фабрики;Страна происхождения;Серия;Наименование;Цена;Остатки;Стиль;Кол-во ламп_1;Макс.мощность_1;Тип цоколя_1;Напряжение_1;Кол-во ламп_2;Макс.мощность_2;Тип цоколя_2;Напряжение_2;Кол-во ламп_3;Макс.мощность_3;Тип цоколя_3;Напряжение_3;Количество лампочек (цоколей)_вычисляемое;Общая мощность_вычисляемая;Максимальная мощность 1-ой лампочки_собираемая;Тип цоколя_собираемый;Напряжение_собираемое;Наличие лампочек в комплекте;Степень пыле-влагозащиты (IP);Класс защиты от эл. тока;Вес брутто(кг);Объем (м3);Длина (см);Ширина (см);Диаметр (см);Выступ (см);Высота (см);МАКС высота (см);МИН высота (см);Глубина врезного отверстия;Размер врезного отверстия;Диаметр абажура (см);Дополнительные функции;Цвет каркаса;Цвет плафона/абажура;Материал каркаса;Материал плафона/абажура;Тип хрусталя;Хрусталь;Кованый;Флористика;Детский;Светодиодный;Точечный;Подсветка предметов;На солнечных батареях;Примечание;Поставщик;Внутренний код;Сортировка
Уличные фонари;86389;Eglo;Австрия;Calgary;Уличный наземный светильник Eglo Calgary 86389;5517;33;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP44;I;;;;10;;;110;;;;;;;хром;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенные;86428;Eglo;Австрия;Prince 1;Настенный светильник Eglo Prince 1 86428;2217;0;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;II;;;7;;;22;28;;;;;;диммер;никель;белый, алебастр;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;86537;Eglo;Австрия;Aosta;Настенно-потолочный светильник Eglo Aosta 86537;2311;138;Современный;3;40;E14;230;;;;;;;;;3;120;40 Вт;E14;230;;IP20;I;;;46;6;;;;;;;;;;желтый;белый, алебастр;металл;стекло;;;;;;;;да;;;Eglo;;310
Светильники>>Настенно-потолочные;86538;Eglo;Австрия;Aosta;Настенно-потолочный светильник Eglo Aosta 86538;3515;93;Современный;4;40;E14;230;;;;;;;;;4;160;40 Вт;E14;230;;IP20;I;;;26;24;;;;;;;;;;желтый;белый, алебастр;металл;стекло;;;;;;;;да;;;Eglo;;310
Настольные лампы;86553;Eglo;Австрия;Tini;Настольная лампа Eglo Tini 86553;1459;0;Современный;1;35;GU10;230;;;;;;;;;1;35;35 Вт;GU10;230;да;IP20;II;;;;;;;50;;;;;;выключатель на проводе;хром, серебряный;;металл;металл;;;;;;;;;;;Eglo;;310
Настольные лампы;86557;Eglo;Австрия;Picaro;Настольная лампа Eglo Picaro 86557;3050;12;Современный;1;40;G9;230;;;;;;;;;1;40;40 Вт;G9;230;да;IP20;II;;;;;;;82;;;;;;;хром;антрацит;металл;металл;;;;;;;;;;;Eglo;;310
Светильники>>Подвесные;86565;Eglo;Австрия;Tanga 1;Подвесной хрустальный светильник Eglo Tanga 1 86565;4851;0;Современный;3;40;G9;230;;;;;;;;;3;120;40 Вт;G9;230;да;IP20;I;;;46,5;7;;;110;;;;;;;никель;прозрачный;металл;хрусталь;;да;;;;;;;;;Eglo;;310
Светильники>>Подвесные;86566;Eglo;Австрия;Tanga 1;Подвесной хрустальный светильник Eglo Tanga 1 86566;6352;0;Современный;5;40;G9;230;;;;;;;;;5;200;40 Вт;G9;230;да;IP20;I;;;73,5;7;;;110;;;;;;;никель;прозрачный;металл;хрусталь;;да;;;;;;;;;Eglo;;310
Светильники>>Настенные;86568;Eglo;Австрия;Tanga 1;Настенный хрустальный светильник Eglo Tanga 1 86568;1506;0;Современный;1;40;G9;230;;;;;;;;;1;40;40 Вт;G9;230;да;IP20;I;;;;7;;;14;;;;;;;никель;прозрачный;металл;хрусталь;;да;;;;;;;;;Eglo;;310
Бра настенные;86569;Eglo;Австрия;Tanga 1;Бра хрустальное Eglo Tanga 1 86569;1850;37;Современный;2;40;G9;230;;;;;;;;;2;80;40 Вт;G9;230;да;IP20;I;;;;25;;;15;;;;;;;никель;прозрачный;металл;хрусталь;;да;;;;;;;;;Eglo;;310
Торшеры напольные;86654;Eglo;Австрия;Up 4;Торшер Eglo Up 4 86654;2642;93;Современный;1;25;E14;230;1;100;E27;;;;;;2;125;1х25 Вт, 1х100 Вт;1xE14, 1xE27;230;;IP20;II;;;;;30;;178;;;;;;;никель;красный, оранжевый;металл;стекло;;;;;;;;;;;Eglo;;310
Торшеры напольные;86655;Eglo;Австрия;Up 4;Торшер Eglo Up 4 86655;2642;106;Современный;1;25;E14;230;1;100;E27;;;;;;2;125;1х25 Вт, 1х100 Вт;1xE14, 1xE27;230;;IP20;II;;;;;30;;178;;;;;;;никель;оранжевый, зеленый;металл;стекло;;;;;;;;;;;Eglo;;310
Торшеры напольные;86656;Eglo;Австрия;Up 4;Торшер Eglo Up 4 86656;2932;1;Современный;1;25;E14;230;1;100;E27;;;;;;2;125;1х25 Вт, 1х100 Вт;1xE14, 1xE27;230;;IP20;II;;;;;30;;178;;;;;;;никель;синий;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;86711;Eglo;Австрия;Mestre;Настенно-потолочный светильник Eglo Mestre 86711;1724;1;Классика;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;I;;;;;33;11,3;;;;;;;;коричневый, золотой;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;86712;Eglo;Австрия;Mestre;Настенно-потолочный светильник Eglo Mestre 86712;2336;0;Классика;2;60;E27;230;;;;;;;;;2;120;60 Вт;E27;230;;IP20;I;;;;;39,5;13,3;;;;;;;;коричневый, золотой;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;86713;Eglo;Австрия;Mestre;Настенно-потолочный светильник Eglo Mestre 86713;3050;11;Классика;3;60;E27;230;;;;;;;;;3;180;60 Вт;E27;230;;IP20;I;;;;;47,5;13,7;;;;;;;;коричневый, золотой;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Бра настенные;86715;Eglo;Австрия;Mestre;Бра Eglo Mestre 86715;1724;0;Классика;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;I;;;30;;;16;33,5;;;;;;;коричневый, золотой;белый;металл;стекло;;;да;;;;;;;;Eglo;;310
Бра настенные;86716;Eglo;Австрия;Mestre;Бра Eglo Mestre 86716;2132;2;Классика;1;60;E14;230;;;;;;;;;1;60;60 Вт;E14;230;;IP20;I;;;;;;27,5;70;;;;;;;коричневый, золотой;белый;металл;стекло;;;да;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;86811;Eglo;Австрия;Optica;Настенно-потолочный светильник Eglo Optica 86811;2540;0;Современный;2;60;E27;230;;;;;;;;;2;120;60 Вт;E27;230;;IP20;I;;;;;28;;16;;;;;;;никель;молочный;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;86812;Eglo;Австрия;Optica;Настенно-потолочный светильник Eglo Optica 86812;3303;347;Современный;2;60;E27;230;;;;;;;;;2;120;60 Вт;E27;230;;IP20;I;;;;;35;;21;;;;;;;никель;молочный;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Подвесные;86813;Eglo;Австрия;Optica;Подвесной светильник Eglo Optica 86813;3356;31;Современный;2;60;E27;230;;;;;;;;;2;120;60 Вт;E27;230;;IP20;I;;;;;28;;110;;;;;;;никель;молочный;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Подвесные;86814;Eglo;Австрия;Optica;Подвесной светильник Eglo Optica 86814;4070;65;Современный;2;60;E27;230;;;;;;;;;2;120;60 Вт;E27;230;;IP20;I;;;;;35;;110;;;;;;;никель;молочный;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Подвесные;86815;Eglo;Австрия;Optica;Подвесной светильник Eglo Optica 86815;5294;223;Современный;2;60;E27;230;;;;;;;;;2;120;60 Вт;E27;230;;IP20;I;;;;;45;;110;;;;;;;никель;молочный;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;86851;Eglo;Австрия;Aero 1;Настенно-потолочный светильник Eglo Aero 1 86851;1720;0;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;I;;;24;24;;;;;;;;;;серый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;86852;Eglo;Австрия;Aero 1;Настенно-потолочный светильник Eglo Aero 1 86852;2632;0;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;33,5;33,5;;;;;;;;;;серый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;86854;Eglo;Австрия;Aero 1;Настенно-потолочный светильник Eglo Aero 1 86854;6314;0;Современный;4;60;E27;230;;;;;;;;;4;240;60 Вт;E27;230;;IP20;I;;;51;51;;;;;;;;;;серый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;86865;Eglo;Австрия;Catania;Настенно-потолочный светильник Eglo Catania 86865;2336;11;Классика;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;;;31,5;;;;;;;;;коричневый;белый;металл;стекло;;;да;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;86866;Eglo;Австрия;Catania;Настенно-потолочный светильник Eglo Catania 86866;3050;0;Классика;3;40;E14;230;;;;;;;;;3;120;40 Вт;E14;230;;IP20;I;;;;;39;;;;;;;;;коричневый, золотой;белый;металл;стекло;;;да;;;;;;;;Eglo;;310
Люстры>>Подвесные;86867;Eglo;Австрия;Catania;Подвесная люстра Eglo Catania 86867;8864;0;Классика;5;40;E14;230;;;;;;;;;5;200;40 Вт;E14;230;;IP20;I;;;;;56;;98;;;;;;;коричневый, золотой;белый;металл;стекло;;;да;;;;;;;;Eglo;;310
Люстры>>Подвесные;86868;Eglo;Австрия;Catania;Подвесная люстра Eglo Catania 86868;9736;0;Классика;7;40;E14;230;;;;;;;;;7;280;40 Вт;E14;230;;IP20;I;;;;;65;;98;;;;;;;коричневый, золотой;белый;металл;стекло;;;да;;;;;;;;Eglo;;310
Бра настенные;86869;Eglo;Австрия;Catania;Бра Eglo Catania 86869;2030;11;Классика;2;40;E14;230;;;;;;;;;2;80;40 Вт;E14;230;;IP20;I;;;;26;;13,5;37;;;;;;шнуровой выключатель;коричневый, золотой;белый;металл;стекло;;;да;;;;;;;;Eglo;;310
Светильники>>Подвесные;86905;Eglo;Австрия;Figaro;Подвесной светильник Eglo Figaro 86905 с элементами из хрусталя;29643;0;Современный;20;10;G4;12;;;;;;;;;20;200;10 Вт;G4;230;да;IP20;I;;;;;50;;120;;;;;;регулировка по высоте;хром;неокрашенный;металл;хрусталь;;да;;;;;;;;;Eglo;;310
Светильники>>Настенные;86906;Eglo;Австрия;Figaro;Настенный светильник Eglo Figaro 86906 с элементами из хрусталя;9748;3;Современный;5;20;G4;12;;;;;;;;;5;100;20 Вт;G4;12;да;IP20;I;;;28;;;30;60;;;;;;;хром;неокрашенный;металл;хрусталь;;да;;;;;;;;;Eglo;;310
Настольные лампы;86956;Eglo;Австрия;Fox 1;Настольная лампа Eglo Fox 1 86956;1239;0;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;12;;IP20;II;;;;;;;32;;;;;;выключатель на проводе;никель, хром;;металл;металл;;;;;;;;;;;Eglo;;310
Светильники>>Настенные;86995;Eglo;Австрия;Nikita;Настенный светильник Eglo Nikita 86995;1520;51;Современный;1;100;R7s;230;;;;;;;;;1;100;100 Вт;R7s;230;да;IP20;I;;;22,5;;;8;29;;;;;;;никель;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенные;87018;Eglo;Австрия;Madras;Настенный светильник Eglo Madras 87018;1928;7;Современный;1;50;GU10;230;;;;;;;;;1;50;50 Вт;GU10;230;да;IP20;I;;;7,5;7,5;;;10,6;;;;;;;алюминий;алюминий;металл;металл;;;;;;;;;;;Eglo;;310
Светильники>>Встраиваемые;87027;Eglo;Австрия;Glenn;Встраиваемый светильник Eglo Glenn 87027;3050;0;Современный;1;20;G4;12;;;;;;;;;1;20;20 Вт;G4;12;да;IP20;II;;;9;9;;;3;;;6;7,5x7,5;;;серебряный;белый;металл;стекло;;;;;;;да;;;3 шт. в комплекте;Eglo;;310
Светильники>>Подвесные;87052;Eglo;Австрия;Brenda;Подвесной светильник Eglo Brenda 87052;2540;0;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;I;;;;;41;;110;;;;;;регулировка по высоте;никель;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Подвесные;87059;Eglo;Австрия;Brenda;Подвесной светильник Eglo Brenda 87059;2824;0;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;II;;;;;26;;110;;;;;;регулировка по высоте;никель;молочный;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Подвесные;87062;Eglo;Австрия;Brenda;Подвесной светильник Eglo Brenda 87062;1758;22;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;;;41,5;;110;;;;;;регулировка по высоте;серебряный;белый с рисунком;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенные;87073;Eglo;Австрия;Dakar;Настенный светильник Eglo Dakar 87073;847;0;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;I;;;10,5;6,5;;;;;;;;;;никель;оранжевый;металл;стекло;;;;;;;да;да;;;Eglo;;310
Светильники>>Настенные;87074;Eglo;Австрия;Dakar;Настенный светильник Eglo Dakar 87074;1559;0;Современный;2;40;E14;230;;;;;;;;;2;80;40 Вт;E14;230;;IP20;I;;;37;6,5;;;;;;;;;;никель;оранжевый;металл;стекло;;;;;;;да;да;;;Eglo;;310
Люстры>>Потолочные;87077;Eglo;Австрия;Dakar;Потолочная люстра Eglo Dakar 87077;3356;0;Современный;5;40;E14;230;;;;;;;;;5;200;40 Вт;E14;230;;IP20;I;;;;;47;;;;;;;;;никель;оранжевый;металл;стекло;;;;;;;;да;;;Eglo;;310
Светильники>>Настенные;87078;Eglo;Австрия;Dakar;Настенный светильник Eglo Dakar 87078;602;0;Классика;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;I;;;10,5;6,5;;;;;;;;;;коричневый;желтый, алебастр;металл;стекло;;;;;;;;да;;;Eglo;;310
Светильники>>Настенно-потолочные;87079;Eglo;Австрия;Dakar;Настенно-потолочный светильник Eglo Dakar 87079;1204;0;Классика;2;40;E14;230;;;;;;;;;2;80;40 Вт;E14;230;;IP20;I;;;37;6,5;;;;;;;;;;коричневый;желтый, алебастр;металл;стекло;;;;;;;;да;;;Eglo;;310
Светильники>>Настенно-потолочные;87081;Eglo;Австрия;Dakar;Настенно-потолочный светильник Eglo Dakar 87081;1620;0;Классика;3;40;E14;230;;;;;;;;;3;120;40 Вт;E14;230;;IP20;I;;;53,5;6,5;;;;;;;;;;коричневый;желтый, алебастр;металл;стекло;;;;;;;;да;;;Eglo;;310
Светильники>>Настенно-потолочные;87082;Eglo;Австрия;Dakar;Настенно-потолочный светильник Eglo Dakar 87082;2198;0;Классика;4;40;E14;230;;;;;;;;;4;160;40 Вт;E14;230;;IP20;I;;;105,5;6,5;;;;;;;;;;коричневый;желтый, алебастр;металл;стекло;;;;;;;;да;;;Eglo;;310
Уличные фонари;87135;Eglo;Австрия;Ottawa;Уличный фонарь Eglo Ottawa 87135;4055;4;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP44;I;;;;;24;;49,5;;;;;;;серый;прозрачный;металл;стекло;;;да;;;;;;;;Eglo;;310
Настольные лампы;87207;Eglo;Австрия;Kingston 1;Настольная лампа Eglo Kingston 1 87207;4070;6;Современный;1;40;G9;230;;;;;;;;;1;40;40 Вт;G9;230;да;IP20;II;;;;;15;;66;;;;;;сенсорный выключатель;никель;белый;металл;стекло;;;;;;;;;;;Eglo;;310
