Категория;Артикул фабрики;Название фабрики;Страна происхождения;Серия;Наименование;Цена;Остатки;Стиль;Кол-во ламп_1;Макс.мощность_1;Тип цоколя_1;Напряжение_1;Кол-во ламп_2;Макс.мощность_2;Тип цоколя_2;Напряжение_2;Кол-во ламп_3;Макс.мощность_3;Тип цоколя_3;Напряжение_3;Количество лампочек (цоколей)_вычисляемое;Общая мощность_вычисляемая;Максимальная мощность 1-ой лампочки_собираемая;Тип цоколя_собираемый;Напряжение_собираемое;Наличие лампочек в комплекте;Степень пыле-влагозащиты (IP);Класс защиты от эл. тока;Вес брутто(кг);Объем (м3);Длина (см);Ширина (см);Диаметр (см);Выступ (см);Высота (см);МАКС высота (см);МИН высота (см);Глубина врезного отверстия;Размер врезного отверстия;Диаметр абажура (см);Дополнительные функции;Цвет каркаса;Цвет плафона/абажура;Материал каркаса;Материал плафона/абажура;Тип хрусталя;Хрусталь;Кованый;Флористика;Детский;Светодиодный;Точечный;Подсветка предметов;На солнечных батареях;Примечание;Поставщик;Внутренний код;Сортировка
Люстры>>Подвесные;A5175LM-3GO;ArteLamp;Италия;WATERFALL;Подвесная хрустальная люстра ArteLamp WATERFALL A5175LM-3GO;12105;13;Классика;3;60;E14;230;;;;;;;;;3;180;60 Вт;E14;230;;;;;0,0608;;;42;;93;;;;;;;золото;;;;;да;;;;;;;;Длина цепи - 50 см.;ArteLamp;;140
Люстры>>Подвесные;A5175LM-5CC;ArteLamp;Италия;WATERFALL;Подвесная хрустальная люстра ArteLamp WATERFALL A5175LM-5CC;18430;68;Классика;5;60;E14;230;;;;;;;;;5;300;60 Вт;E14;230;;;;;0,0847;;;53;;95;;;;;;;хром;;;;;да;;;;;;;;Длина цепи - 50 см.;ArteLamp;;140
Люстры>>Подвесные;A5175LM-5GO;ArteLamp;Италия;WATERFALL;Подвесная хрустальная люстра ArteLamp WATERFALL A5175LM-5GO;18430;84;Классика;5;60;E14;230;;;;;;;;;5;300;60 Вт;E14;230;;;;;0,0847;;;53;;95;;;;;;;золото;;;;;да;;;;;;;;Длина цепи - 50 см.;ArteLamp;;140
Бра настенные;A3840AP-1CC;ArteLamp;Италия;RAFAELLA;Бра ArteLamp RAFAELLA A3840AP-1CC с хрустальными подвесками;2160;19;Классика;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;;;;0,0109;;14;;25;35;;;;;;;хром;;;;;да;;;;;;;;;ArteLamp;;140
Люстры>>Подвесные;A3840LM-5CC;ArteLamp;Италия;RAFAELLA;Подвесная люстра ArteLamp RAFAELLA A3840LM-5CC с хрустальными подвесками;9040;19;Классика;5;40;E14;230;;;;;;;;;5;200;40 Вт;E14;230;;;;;0,0763;;;60;;159;;;;;;;хром;;;;;да;;;;;;;;Длина цепи - 100 см.;ArteLamp;;140
Бра настенные;A6052AP-2GO;ArteLamp;Италия;VERNISAGE;Бра ArteLamp VERNISAGE A6052AP-2GO с хрустальными подвесками;3370;53;Классика;2;40;E14;230;;;;;;;;;2;80;40 Вт;E14;230;;;;;0,0227;;48;;25;25;;;;;;;золото;золото;;;;да;;;;;;;;;ArteLamp;;140
Люстры>>Подвесные;A6052LM-3GO;ArteLamp;Италия;VERNISAGE;Подвесная люстра ArteLamp VERNISAGE A6052LM-3GO с хрустальными подвесками;5260;2;Классика;3;40;E14;230;;;;;;;;;3;120;40 Вт;E14;230;;;;;0,0573;;;58;;148;;;;;;;золото;золото;;;;да;;;;;;;;Длина цепи - 100 см.;ArteLamp;;140
Люстры>>Подвесные;A6052LM-6GO;ArteLamp;Италия;VERNISAGE;Подвесная люстра ArteLamp VERNISAGE A6052LM-6GO с хрустальными подвесками;10960;13;Классика;6;40;E14;230;;;;;;;;;6;240;40 Вт;E14;230;;;;;0,088;;;71;;150;;;;;;;золото;золото;;;;да;;;;;;;;Длина цепи - 100 см.;ArteLamp;;140
Люстры>>Подвесные;A8812SP-9CC;ArteLamp;Италия;MOBIUS;Подвесная люстра ArteLamp MOBIUS A8812SP-9CC с элементами из хрусталя;14710;0;Современный;9;20;G4;230;;;;;;;;;9;180;20 Вт;G4;230;да;;;7;0,0661;;;45;;145;;;;;;;хром;хром;;;;да;;;;;;;;Длина штанги - 100 см.;ArteLamp;;140
Люстры>>Подвесные;A8812SP-9GO;ArteLamp;Италия;MOBIUS;Подвесная люстра ArteLamp MOBIUS A8812SP-9GO с элементами из хрусталя;15520;22;Современный;9;20;G4;230;;;;;;;;;9;180;20 Вт;G4;230;да;;;7;0,0661;;;45;;145;;;;;;;золото;золото;;;;да;;;;;;;;Длина штанги - 100 см.;ArteLamp;;140
Люстры>>Потолочные;A8812PL-12GO;ArteLamp;Италия;MOBIUS;Потолочная люстра ArteLamp MOBIUS A8812PL-12GO с элементами из хрусталя;29700;2;Современный;12;20;G4;230;;;;;;;;;12;240;20 Вт;G4;230;да;;;;0,0566;;;37;;55;;;;;;;золото;золото;;;;да;;;;;;;;;ArteLamp;;140
Светильники>>Потолочные;A8300PL-3-12GO;ArteLamp;Италия;LAUREL;Потолочный светильник ArteLamp LAUREL A8300PL-3-12GO;7960;40;Современный;3;40;E14;;12;10;G4;;;;;;15;240;3х40 Вт, 12х10 Вт;3хE14, 12хG4;;да;;;4,95;0,1357;;;55;;30;;;;;;;золото;золото;;;;;;да;;;;;;Лампы с цоколем G4 в комплекте;ArteLamp;;140
Светильники>>Потолочные;A8300PL-3-12CC;ArteLamp;Италия;LAUREL;Потолочный светильник ArteLamp LAUREL A8300PL-3-12CC;7960;3;Современный;3;40;E14;;12;10;G4;;;;;;15;240;3х40 Вт, 12х10 Вт;3хE14, 12хG4;;да;;;4,95;0,1357;;;55;;30;;;;;;;хром;хром;;;;;;да;;;;;;Лампы с цоколем G4 в комплекте;ArteLamp;;140
Люстры>>Подвесные;A5021SP-21CC;ArteLamp;Италия;MOLECULE;Подвесная люстра ArteLamp MOLECULE A5021SP-21CC;8230;54;Современный;21;10;G4;;;;;;;;;;21;210;10 Вт;G4;;да;;;3,8;0,4183;;;32;;142;;;;;;;хром;хром;;;;;;;;;;;;Длина цепи - 110 см.;ArteLamp;;140
Настольные лампы;A8312LT-6CC;ArteLamp;Италия;MOLECULE;Настольная лампа ArteLamp MOLECULE A8312LT-6CC;15008;11;Современный;6;10;G4;230;;;;;;;;;6;60;10 Вт;G4;230;да;;;;0,029;;;45;;47;;;;;;диммер;хром;хром;;;;;;;;;;;;;ArteLamp;;140
