775;L'ARTE LUCE;ИТАЛИЯ;LUXO;L17221.23;Бра Luxo;Бра Luxo;Светильники НАСТЕННЫЕ;L17221.23;1;шт;Бра;1;Е27;60;Бра Luxo.;модерн;220;;;;;;;;;45;;;12,5;;;;;22,5;;;;;;;;;;;;;;;3990;20;Светильники НАСТЕННЫЕ модерн
781;L'ARTE LUCE;ИТАЛИЯ;LUXO;L17230.55;Бра Luxo;Бра Luxo;Светильники НАСТЕННЫЕ;L17230.55;1;шт;Бра;1;Е27;60;Бра Luxo.;модерн;220;;;;;;;;;;;;21;;;;;23;;;;;;;;;;;;;;;2465;1;Светильники НАСТЕННЫЕ модерн
792;L'ARTE LUCE;ИТАЛИЯ;HABANA;L91521.26;Бра Habana;Бра Habana;Светильники НАСТЕННЫЕ;L91521.26;1;шт;Бра;1;Е27;60;Бра Habana. Абажур изготовлен из тростника.;модерн;220;;;;;;;;;;;;20;;;;;15;;;;;;;;;;;;;;;2009;2;Светильники НАСТЕННЫЕ модерн
496;LEDS C4;ИСПАНИЯ;ARTI;81507034002;Бра Arti прикроватное;Бра Arti;Светильники НАСТЕННЫЕ;05-0542-Y2-20;1;шт;Бра;1;E14;60;Бра Arti. Эта серия является одной из самых популярных . В ассортименте имеются люстры, бра, торшеры, настольные лампы. Арматура покрашена под венге. Тканевый плафон.;модерн;220;;;;;;;;;17;;;23,5;;;;;22;;;;;;;Old brown;;;;;;;;3444;2;Светильники НАСТЕННЫЕ модерн
497;LEDS C4;ИСПАНИЯ;ARTI;81507034003;Бра Arti прикроватное;Бра Arti;Светильники НАСТЕННЫЕ;05-0543-Y2-20;1;шт;Бра;1;E14;60;Бра поворотная Arti. Эта серия является одной из самых популярных . В ассортименте имеются люстры, бра, торшеры, настольные лампы. Арматура покрашена под венге. Тканевый плафон.;модерн;220;;;;;;;;;20;;;35;;;;;37;;;;;;;Old brown;;;;;;;;4451;16;Светильники НАСТЕННЫЕ модерн
498;LEDS C4;ИСПАНИЯ;ARTI;81507034004;Бра Arti прикроватное;Бра Arti;Светильники НАСТЕННЫЕ;05-0544-Y2-20;1;шт;Бра;1;E14;60;Бра поворотная, выдвигающаяся Arti. Эта серия является одной из самых популярных . В ассортименте имеются люстры, бра, торшеры, настольные лампы. Арматура покрашена под венге. Тканевый плафон.;модерн;220;;;;;;;;;20;;;36;;;;;46;;;;;;;Old brown;;;;;;;;4981;0;Светильники НАСТЕННЫЕ модерн
510;LEDS C4;ИСПАНИЯ;CARLA;8150713104;Бра Carla Тиффани;Бра Carla;Светильники НАСТЕННЫЕ;05-2374-Y2-AE;1;шт;Бра;1;G9;60;Однорожковое бра Carla. Широко представленная серия  в стиле тиффани.;тиффани;220;;;;;;;;;8;;;;;;;;14;;;;;;Tiffany glass;Old brown;;;;;;;;2915;0;Светильники НАСТЕННЫЕ тиффани
519;LEDS C4;ИСПАНИЯ;CARLA;8150713114;Бра Carla Тиффани;Бра Carla;Светильники НАСТЕННЫЕ;05-2374-N3-AE;1;шт;Бра;1;G9;60;Однорожковое бра Carla. Широко представленная серия  в стиле тиффани.;тиффани;220;;;;;;;;;8;;;;;;;;14;;;;;;Tiffany glass;Grey texture;;;;;;;;2657;0;Светильники НАСТЕННЫЕ тиффани
530;LEDS C4;ИСПАНИЯ;FUSTA;8150703606;Бра Fusta;Бра Fusta;Светильники НАСТЕННЫЕ;05-2381-21-20;1;шт;Бра;1;E14;60;Бра Fusta. Покрытие - высококачественная гальваника. Деревянные вставки венге. Вся серия оснащена диммерами.;современный;220;;;;;;;;;20;;;34;;;;;19;;;;;;;Chrome and wenge wood;;;;;;;;5005;29;Светильники НАСТЕННЫЕ современный
533;LEDS C4;ИСПАНИЯ;FUSTA;81507037901;Бра Fusta;Бра Fusta;Светильники НАСТЕННЫЕ;05-2380-21-20;1;шт;Бра;1;E14;60;Бра Fusta. Покрытие - высококачественная гальваника. Деревянные вставки венге. Вся серия оснащена диммерами.;современный;220;;;;;;;;;16;;;25;;;;;17;;;;;;;Chrome and wenge wood;;;;;;;;4710;2;Светильники НАСТЕННЫЕ современный
549;LEDS C4;ИСПАНИЯ;XENIA;81507035602;Бра Xenia настенное;Бра Xenia;Светильники НАСТЕННЫЕ;05-0575-Y2-E7;1;шт;Бра;1;E14;60;Однорожковое бра Xenia. Популярная серия. Плафон оригинальной кубической формы, из стекла, обсыпанного изнутри крошкой. Арматура под венге с кожанными вставками.;модерн;220;;;;;;;;;16;;;21;;;;;12,5;;;;;;Ambar glass;Old brown;;;;;;;;2915;4;Светильники НАСТЕННЫЕ модерн
552;LEDS C4;ИСПАНИЯ;XENIA;8150731001;Бра Xenia настенное;Бра Xenia;Светильники НАСТЕННЫЕ;05-0577-Y2-E7;1;шт;Бра;1;G9;60;Однорожковое бра Xenia. Популярная серия. Плафон оригинальной кубической формы, из стекла, обсыпанного изнутри крошкой. Арматура под венге с кожанными вставками.;модерн;220;;;;;;;;;8,5;;;14,5;;;;;11,5;;;;;;Ambar glass;Old brown;;;;;;;;3127;43;Светильники НАСТЕННЫЕ модерн
603;LEDS C4;ИСПАНИЯ;SABANA;81507033001;Бра Sabana;Бра Sabana;Светильники НАСТЕННЫЕ;05-2317-S4-E7;1;шт;Бра;1;E14;60;Однорожковое бра Sabana. Оригинальный плафон из стекла, изнутри обсыпан крошкой.;ковка;220;;;;;;;;;16;;;;;;;;20;;;;;;Ambar glass;Golden amber;;;;;;;;5601;0;Светильники НАСТЕННЫЕ ковка
467;LEDS C4;ИСПАНИЯ;GLASS;815312802;Влагозащищенное бра Glass;Бра Glass;Светильники НАСТЕННЫЕ;444-BL;1;шт;Бра;1;Е27;60;Бра Glass. Оригинальная овальная форма. Двойное матовое стекло.;современный;220;;;;;;;;;;;;23,5;;;;;11;;;;;;Opal glass;white;;;;;;;;2261;0;Светильники НАСТЕННЫЕ современный
468;LEDS C4;ИСПАНИЯ;GLASS;815312803;Влагозащищенное бра Glass;Бра Glass;Светильники НАСТЕННЫЕ;445-BL;1;шт;Бра;1;Е27;60;Бра Glass. Оригинальная овальная форма. Двойное матовое стекло.;современный;220;;;;;;;;;;;;46;;;;;13;;;;;;Opal glass;white;;;;;;;;2968;0;Светильники НАСТЕННЫЕ современный
442;LEDS C4;ИСПАНИЯ;ADAGIO;81507037401;Бра Adagio;Бра Adagio;Светильники НАСТЕННЫЕ;05-0221-S3-F1;1;шт;Бра;1;G9;75;Бра Adagio. Арматура из полированного алюминия, антибликовое стекло.;хай-тек;220;;;;;;;;;12,5;;;26,5;;;;;15,5;;;;;;Anti-glare glass;Polished & burnished aluminium;;;;;;;;6147;16;Светильники НАСТЕННЫЕ хай-тек
557;LEDS C4;ИСПАНИЯ;SUITE;815614107;Бра Suite;Бра Suite;Светильники НАСТЕННЫЕ;05-0381-81-AJ;1;шт;Бра;1;Е27;60;Бра Suite. Оснащена диммером.;модерн;220;;;;;;;;;;;;;;;;;48,5;;;;22,5;;;Satin nickel;;;;;;;;5683;0;Светильники НАСТЕННЫЕ модерн
558;LEDS C4;ИСПАНИЯ;SUITE;815614108;Бра настенное Suite;Бра Suite;Светильники НАСТЕННЫЕ;05-0382-81-AJ;1;шт;Бра;1;Е27;60;Бра Suite. Трансформер. Оснащена диммером.;модерн;220;;;;;;;;;;;;27;;;;;75;;;;22,5;;;Satin nickel;;;;;;;;;1;Светильники НАСТЕННЫЕ модерн
444;LEDS C4;ИСПАНИЯ;ADAGIO DE LUX;815614201;Бра Adagio de Lux;Бра Adagio de Lux;Светильники НАСТЕННЫЕ;05-0221-21-F1;1;шт;Бра;1;G9;75;Бра Adagio de Lux. Покрытие - высококачественная гальваника. Антибликовое стекло.;хай-тек;220;;;;;;;;;12,5;;;26,5;;;;;15,5;;;;;;Anti-glare glass;Chrome;;;;;;;;7560;13;Светильники НАСТЕННЫЕ хай-тек
